Especificacion
2GB
2GB SSD
2GB SSD M.2
2GB SSD SATA
2GB HDD SATA
2GB HDD SAS
4GB
4GB SSD
4GB SSD M.2
4GB SSD SATA
4GB HDD SATA
4GB HDD SAS
8GB
8GB SSD
8GB SSD M.2
8GB SSD SATA
8GB HDD SATA
8GB HDD SAS
16GB
16GB SSD
16GB SSD M.2
16GB SSD SATA
16GB HDD SATA
16GB HDD SAS
32GB
32GB SSD
32GB SSD M.2
32GB SSD SATA
32GB HDD SATA
32GB HDD SAS
64GB
64GB SSD
64GB SSD M.2
64GB SSD SATA
64GB HDD SATA
64GB HDD SAS
120GB
120GB SSD
120GB SSD M.2
120GB SSD SATA
120GB HDD SATA
120GB HDD SAS
128GB
128GB SSD
128GB SSD M.2
128GB SSD SATA
128GB HDD SATA
128GB HDD SAS
240GB
240GB SSD
240GB SSD M.2
240GB SSD SATA
240GB HDD SATA
240GB HDD SAS
256GB
256GB SSD
256GB SSD M.2
256GB SSD SATA
256GB HDD SATA
256GB HDD SAS
480GB
480GB SSD
480GB SSD M.2
480GB SSD SATA
480GB HDD SATA
480GB HDD SAS
500GB
500GB SSD
500GB SSD M.2
500GB SSD SATA
500GB HDD SATA
500GB HDD SAS
512GB
512GB SSD
512GB SSD M.2
512GB SSD SATA
512GB HDD SATA
512GB HDD SAS
800GB
800GB SSD
800GB SSD M.2
800GB SSD SATA
800GB HDD SATA
800GB HDD SAS
900GB
900GB SSD
900GB SSD M.2
900GB SSD SATA
900GB HDD SATA
900GB HDD SAS
960GB
960GB SSD
960GB SSD M.2
960GB SSD SATA
960GB HDD SATA
960GB HDD SAS
1TB
1TB SSD
1TB SSD M.2
1TB SSD SATA
1TB HDD SATA
1TB HDD SAS
1.2TB
1.2TB SSD
1.2TB SSD M.2
1.2TB SSD SATA
1.2TB HDD SATA
1.2TB HDD SAS
1.6TB
1.6TB SSD
1.6TB SSD M.2
1.6TB SSD SATA
1.6TB HDD SATA
1.6TB HDD SAS
1.8TB
1.8TB SSD
1.8TB SSD M.2
1.8TB SSD SATA
1.8TB HDD SATA
1.8TB HDD SAS
1.92TB
1.92TB SSD
1.92TB SSD M.2
1.92TB SSD SATA
1.92TB HDD SATA
1.92TB HDD SAS
2TB
2TB SSD
2TB SSD M.2
2TB SSD SATA
2TB HDD SATA
2TB HDD SAS
2.4TB
2.4TB SSD
2.4TB SSD M.2
2.4TB SSD SATA
2.4TB HDD SATA
2.4TB HDD SAS
3.84TB
3.84TB SSD
3.84TB SSD M.2
3.84TB SSD SATA
3.84TB HDD SATA
3.84TB HDD SAS
4TB
4TB SSD
4TB SSD M.2
4TB SSD SATA
4TB HDD SATA
4TB HDD SAS
6TB
6TB SSD
6TB SSD M.2
6TB SSD SATA
6TB HDD SATA
6TB HDD SAS
7.68TB
7.68TB SSD
7.68TB SSD M.2
7.68TB SSD SATA
7.68TB HDD SATA
7.68TB HDD SAS
8TB
8TB SSD
8TB SSD M.2
8TB SSD SATA
8TB HDD SATA
8TB HDD SAS
10TB
10TB SSD
10TB SSD M.2
10TB SSD SATA
10TB HDD SATA
10TB HDD SAS
12TB
12TB SSD
12TB SSD M.2
12TB SSD SATA
12TB HDD SATA
12TB HDD SAS
14TB
14TB SSD
14TB SSD M.2
14TB SSD SATA
14TB HDD SATA
14TB HDD SAS
15.36TB
15.36TB SSD
15.36TB SSD M.2
15.36TB SSD SATA
15.36TB HDD SATA
15.36TB HDD SAS
16TB
16TB SSD
16TB SSD M.2
16TB SSD SATA
16TB HDD SATA
16TB HDD SAS
18TB
18TB SSD
18TB SSD M.2
18TB SSD SATA
18TB HDD SATA
18TB HDD SAS
20TB
20TB SSD
20TB SSD M.2
20TB SSD SATA
20TB HDD SATA
20TB HDD SAS
22TB
22TB SSD
22TB SSD M.2
22TB SSD SATA
22TB HDD SATA
22TB HDD SAS
24TB
24TB SSD
24TB SSD M.2
24TB SSD SATA
24TB HDD SATA
24TB HDD SAS
26TB
26TB SSD
26TB SSD M.2
26TB SSD SATA
26TB HDD SATA
26TB HDD SAS
28TB
28TB SSD
28TB SSD M.2
28TB SSD SATA
28TB HDD SATA
28TB HDD SAS
30.72TB
30.72TB SSD
30.72TB SSD M.2
30.72TB SSD SATA
30.72TB HDD SATA
30.72TB HDD SAS
32TB
32TB SSD
32TB SSD M.2
32TB SSD SATA
32TB HDD SATA
32TB HDD SAS
36TB
36TB SSD
36TB SSD M.2
36TB SSD SATA
36TB HDD SATA
36TB HDD SAS
40TB
40TB SSD
40TB SSD M.2
40TB SSD SATA
40TB HDD SATA
40TB HDD SAS
44TB
44TB SSD
44TB SSD M.2
44TB SSD SATA
44TB HDD SATA
44TB HDD SAS
48TB
48TB SSD
48TB SSD M.2
48TB SSD SATA
48TB HDD SATA
48TB HDD SAS
61.44TB
61.44TB SSD
61.44TB SSD M.2
61.44TB SSD SATA
61.44TB HDD SATA
61.44TB HDD SAS
64TB
64TB SSD
64TB SSD M.2
64TB SSD SATA
64TB HDD SATA
64TB HDD SAS
96TB
96TB SSD
96TB SSD M.2
96TB SSD SATA
96TB HDD SATA
96TB HDD SAS
100TB
100TB SSD
100TB SSD M.2
100TB SSD SATA
100TB HDD SATA
100TB HDD SAS
108TB
108TB SSD
108TB SSD M.2
108TB SSD SATA
108TB HDD SATA
108TB HDD SAS
Soldado eMMC Integrada 16GB
Soldado eMMC Integrada 32GB
Soldado eMMC Integrada 64GB
Soldado eMMC Integrada 128GB
Soldado eMMC Integrada 256GB
Soldado eMMC Integrada 512GB
Soldado NVMe BGA Integrada 1TB
Soldado NVMe BGA Integrada 2TB
SSD NVMe Enterprise 15.36TB
SSD NVMe Enterprise 16TB
SSD NVMe Enterprise 30.72TB
SSD NVMe Enterprise 32TB
SSD NVMe Enterprise 61.44TB
SSD NVMe Enterprise 64TB
SSD NVMe Enterprise 100TB
SSD NVMe Enterprise 122.88TB
SSD NVMe Enterprise 245TB
SSD SAS Enterprise 1.6TB
SSD SAS Enterprise 3.84TB
SSD SAS Enterprise 7.68TB
SSD SAS Enterprise 15.36TB
SSD SAS Enterprise 30.72TB
